year	category	text	frequency	sentiment
2004	organization	halliburton	45	0.5
2004	organization	goldman sachs	44	0.5
2004	organization	senate republicans	43	0.5
2004	organization	fox news channel	43	0.5
2004	organization	national guard	41	0.5
2004	organization	bill	40	0.5
2004	organization	national intelligence estimate	39	0.7383500000000004
2004	organization	democratic national committee	38	0.5
2004	organization	center for american progress	36	0.7107500000000005
2004	organization	irs	35	0.5
2004	organization	focus	35	0.5
2004	organization	bush  cheney	34	0.5
2004	organization	senate armed services committee	32	0.5
2004	organization	wmd	32	0.5
2004	organization	policy priorities	31	0.5
2004	organization	central intelligence agency	31	0.7383500000000004
2004	organization	new york post	30	0.5
2004	organization	state	29	0.5
2004	organization	the bush	29	0.5
2004	organization	us constitution	29	0.5
2004	organization	vice president	28	0.5
2004	organization	red cross	28	0.5
2004	organization	columbia university	28	0.5
2004	organization	marine corps	28	0.5
2004	organization	secret service	27	0.5
2004	organization	geneva conventions	27	0.5
2004	organization	today show	27	0.5
2004	organization	commission	26	0.5
2004	organization	no	26	0.3520000000000001
2004	organization	usa today	25	0.5
2004	organization	chicago tribune	25	0.5
2004	organization	treasury department	25	0.6011500000000002
2004	organization	boston globe	24	0.5
2004	organization	war	24	0.20030000000000003
2004	organization	al jazeera	23	0.5
2004	organization	oreilly factor	23	0.5
2004	organization	world trade center	23	0.5
2004	organization	european union	22	0.5
2004	organization	national security council	22	0.67
2004	organization	vp	22	0.5
2004	organization	reagan	21	0.5
2004	organization	house and senate	21	0.5
2004	organization	iaea	21	0.5
2004	organization	wsj	21	0.5
2004	organization	daily news	21	0.5
2004	organization	national journal	20	0.5
2004	organization	fcc	20	0.5
2004	organization	the washington times	20	0.5
2004	organization	comedy central	19	0.6806
2004	organization	time magazine	19	0.5
2004	organization	secretary of defense	19	0.5640000000000001
2004	organization	house committee	18	0.5
2004	organization	marines	18	0.5
2004	organization	budget	17	0.5
2004	organization	defense	17	0.5640000000000001
2004	organization	national review online	17	0.5
2004	organization	senate foreign relations committee	17	0.5
2004	organization	federal election commission	17	0.5
2004	organization	swift boat	17	0.60115
2004	organization	swift boat veterans	17	0.60115
2004	organization	international atomic energy agency	16	0.6365999999999998
2004	organization	new yorker	16	0.5
2004	organization	republican senate	16	0.5
2004	organization	us marines	16	0.5
2004	organization	coalition provisional authority	16	0.5385999999999999
2004	organization	census bureau	15	0.5
2004	organization	interior ministry	15	0.5
2004	organization	pew research center	14	0.5
2004	organization	oreilly	14	0.5
2004	organization	ny post	14	0.5
2004	organization	house intelligence committee	14	0.7383500000000003
2004	organization	navy	14	0.5
2004	organization	labor department	13	0.5
2004	organization	national security advisor	13	0.67
2004	organization	washington monthly	13	0.5
2004	organization	baltimore sun	13	0.5
2004	organization	geneva convention	13	0.5
2004	organization	national public radio	12	0.5
2004	organization	house appropriations committee	12	0.5
2004	organization	new york daily news	12	0.5
2004	organization	marine	12	0.5
2004	organization	ny daily news	12	0.5
2004	organization	sept	12	0.5
2004	organization	iraqi army	12	0.5
2004	organization	mahdi army	12	0.5
2004	organization	news corporation	11	0.5
2004	organization	nrcc	11	0.5
2004	organization	christian right	11	0.5
2004	organization	majority leader	11	0.5
2004	organization	christian science monitor	11	0.5
2004	organization	christian	11	0.5
2004	organization	shia	11	0.5
2004	organization	st petersburg times	10	0.5
2004	organization	christians	10	0.5
2004	organization	bible	10	0.5
2004	organization	center for strategic and international studies	10	0.5
2004	organization	media research center	9	0.5
2004	organization	opec	9	0.5
2004	organization	guard	9	0.5
2004	organization	general assembly	9	0.5
2004	organization	los angeles	9	0.5
2004	organization	new york	9	0.5
2004	organization	raw story	9	0.5
2004	organization	bob jones university	9	0.5
2004	organization	truth	9	0.6591
2004	organization	south	8	0.5
2004	organization	fifth amendment	8	0.5
2004	organization	house ethics committee	8	0.5
2004	organization	arizona republican	8	0.5
2004	organization	international development	8	0.5
2004	organization	liberty counsel	8	0.76335
2004	organization	christian coalition	8	0.5
2004	organization	air national guard	8	0.5
2004	organization	homeland security department	8	0.67
2004	organization	white	8	0.5
2004	organization	daily howler	8	0.5
2004	organization	king	7	0.5
2004	organization	ethics committee	7	0.5
2004	organization	texas air national guard	7	0.5
2004	organization	princeton university	7	0.5
2004	organization	judicial watch	7	0.5
2004	organization	detroit free press	7	0.7553000000000001
